Rank,Name,Year,Rating
125,This Is Us,2016,8.6
126,Dexter,2006,8.6
127,Atlanta,2016,8.6
128,The Jinx: The Life and Deaths of Robert Durst,2015,8.6
129,Naruto: Shippûden,2007,8.6
130,Primal,2019,8.6
131,Code Geass: Hangyaku no Lelouch,2006,8.6
132,Blackadder II,1986,8.6
133,Bron/Broen,2011,8.6
134,Critical Role,2015,8.6
135,Bleach: Sennen Kessen-hen,2022,8.6
136,Daredevil,2015,8.6
137,It's a Sin,2021,8.6
138,Monster,2004,8.6
139,Ramayan,1987,8.6
140,Lonesome Dove,1989,8.6
141,Adventure Time,2010,8.6
142,Archer,2009,8.6
143,Kimetsu no Yaiba,2019,8.6
144,Yeh Meri Family,2018,8.6
145,Mindhunter,2017,8.5
146,Mystery Science Theater 3000,1988,8.5
147,The Return of Sherlock Holmes,1986,8.5
148,Gomorra: La serie,2014,8.5
149,Yellowstone,2018,8.5
150,Young Justice,2010,8.5
151,Blackadder the Third,1987,8.5
152,Heartstopper,2022,8.5
153,The Offer,2022,8.5
154,Haikyuu!!,2014,8.5
155,Dopesick,2021,8.5
156,Mr. Bean,1990,8.5
157,Anne,2017,8.5
158,QI,2003,8.5
159,Poirot,1989,8.5
160,Yes Minister,1980,8.5
161,Justified,2010,8.5
162,Pose,2018,8.5
163,Making a Murderer,2015,8.5
164,Boardwalk Empire,2010,8.5
165,The Newsroom,2012,8.5
166,The Bugs Bunny Show,1960,8.5
167,Sa-rang-eui bul-shi-chak,2019,8.5
168,The Haunting of Hill House,2018,8.5
169,The Eric Andre Show,2012,8.5
170,The Queen's Gambit,2020,8.5
171,Justice League,2001,8.5
172,Homicide: Life on the Street,1993,8.5
173,Flight of the Conchords,2007,8.5
174,Dragon Ball: Doragon bôru,1986,8.5
175,Dragon Ball,1995,8.5
176,Battlestar Galactica,2003,8.5
177,El Chavo del Ocho,1972,8.5
178,The Venture Bros.,2003,8.5
179,Coupling,2000,8.5
180,Impractical Jokers,2011,8.5
181,Le Bureau des Légendes,2015,8.5
182,Spaced,1999,8.5
183,Formula 1: Drive to Survive,2019,8.5
184,Senke nad Balkanom,2017,8.5
185,What We Do in the Shadows,2019,8.5
186,Long Way Round,2004,8.5
187,"Yes, Prime Minister",1986,8.5
188,Samurai chanpurû,2004,8.5
189,The IT Crowd,2006,8.5
190,Mr. Robot,2015,8.5
191,The Family Man,2019,8.5
192,The Rehearsal,2022,8.5
193,Louie,2010,8.5
194,I'm Alan Partridge,1997,8.5
195,The Office,2001,8.5
196,Whose Line Is It Anyway?,1998,8.5
197,Through the Wormhole,2010,8.5
198,Letterkenny,2016,8.5
199,Samurai Jack,2001,8.5
200,Mob Psycho 100,2016,8.5
201,Ezel,2009,8.5
202,Shameless,2011,8.5
203,Spartacus: Blood and Sand,2010,8.5
204,Endeavour,2012,8.5
205,Detectorists,2014,8.5
206,Sons of Anarchy,2008,8.5
207,Brass Eye,1997,8.5
208,Shin seiki evangerion,1995,8.5
209,Trailer Park Boys,2001,8.5
210,Westworld,2016,8.5
211,North & South,2004,8.5
212,I-sang-han byeon-ho-sa U-yeong-u,2022,8.5
213,Skam,2015,8.5
214,Doctor Who,2005,8.5
215,Twin Peaks,2017,8.5
216,Hagane no renkinjutsushi,2003,8.5
217,Silicon Valley,2014,8.5
218,Spartacus: Gods of the Arena,2011,8.5
219,Mr Inbetween,2018,8.5
220,Futurama,1999,8.5
221,From the Earth to the Moon,1998,8.5
222,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,8.5
223,Happy Valley,2014,8.5
224,Schitt's Creek,2015,8.4
225,Hannibal,2013,8.4
226,The Expanse,2015,8.4
227,Umbre,2014,8.4
228,Rocket Boys,2022,8.4
229,Regular Show,2009,8.4
230,Community,2009,8.4
231,Jujutsu Kaisen,2020,8.4
232,Cobra Kai,2018,8.4
233,Chef's Table,2015,8.4
234,L'amica geniale,2018,8.4
235,Generation Kill,2008,8.4
236,Wentworth,2013,8.4
237,Derry Girls,2018,8.4
238,The Angry Video Game Nerd,2004,8.4
239,The Night Of,2016,8.4
240,Alfred Hitchcock Presents,1955,8.4
241,Avrupa Yakasi,2004,8.4
242,Shigatsu wa kimi no uso,2014,8.4
243,Big Little Lies,2017,8.4
244,Southland,2009,8.4
245,The Knick,2014,8.4
246,Foyle's War,2002,8.4
247,Gintama,2005,8.4
248,Black Books,2000,8.4
249,The Great British Bake Off,2010,8.4
250,X-Men,1992,8.4
